id;colour wine;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
42;white;7,4;0,25;0,29;6,8;0,02;31;113;0,99338;3,13;0,29;NA;6
43;white;6,8;0,39;0,34;7,4;0,02;38;133;NA;3,18;0,44;12;7,456
44;white;6,8;0,39;0,34;7,4;0,02;38;133;0,99212;3,18;0,44;12;7,456
45;white;6,8;NA;0,34;7,4;0,02;38;133;0,99212;3,18;0,44;12;7,456
46;white;6,7;0,21;0,36;8,55;0,02;20;86;0,99146;3,19;0,22;13.4;7,456
47;white;6,3;0,34;0,31;6;0,02;18;68;0,98981;3,22;0,29;13.4;7,456
48;white;6,5;0,26;0,39;1,4;0,02;12;66;0,99089;NA;0,75;11.3;7,456
49;white;6;0,21;NA;0,8;0,02;22;98;0,98941;3,26;0,32;11.8;6
50;white;6,6;0,33;0,31;1,3;0,02;29;89;0,99035;3,26;0,44;12.4;8,345
51;white;5,8;0,58;0;1,5;0,02;33;96;0,98918;3,29;NA;12.4;6
52;white;4,7;0,67;0,09;1;0,02;5;9;0,98722;3,3;0,34;13.6;5
53;white;5,8;0,26;0,25;10,5;0,02;427.135.110.919.113;168.083.136.934.905;0,994;3,39;0,37;10.6;6,134
54;white;5,7;0,26;0,25;10,4;0,02;7;57;0,994;3,39;0,37;10.6;5,67
55;white;8,4;0,31;0,31;0,95;0,021;52;148;0,99038;2,93;0,32;11.5;5
56;white;8,4;0,31;0,31;0,95;0,021;52;148;0,99038;2,93;0,32;11.5;5
57;white;7,3;0,24;0,43;2;0,021;20;69;0,99;3,08;0,56;12.2;6,324
58;white;7,5;0,38;0,29;4,9;0,021;38;113;0,99026;3,08;0,48;13;7,456
59;white;7,6;0,31;0,27;8,8;0,021;57;156;0,99442;3,08;0,38;11;7,456
60;white;6,1;0,27;0,33;2,2;0,021;26;117;0,9886;3,12;0,3;12.5;6,324
61;white;7,5;0,26;0,38;5,7;0,021;23;125;0,99338;3,13;NA;11.1;6
62;white;6,1;0,32;0,28;6,6;0,021;29;132;0,99188;3,15;0,36;11.45;7
63;white;6,9;0,21;0,24;1,8;0,021;17;80;0,98992;3,15;0,46;12.3;7,456
64;white;6,7;0,48;0,32;1,4;0,021;22;121;0,9889;3,15;0,53;12.7;7,456
65;white;6,7;0,48;0,32;1,4;0,021;22;121;0,9889;3,15;0,53;12.7;7,456
66;white;7,1;0,21;NA;3,8;0,021;40;142;0,99215;3,17;0,39;10.8;7,234
67;white;6,3;0,25;0,53;1,8;0,021;41;101;0,989315;NA;0,31;13;6
68;white;6;0,27;0,4;1,7;0,021;18;82;0,9891;3,24;0,95;131.333.333.333.333;6
69;white;7;0,25;0,33;2,1;0,021;17;76;NA;3,26;0,45;12.3;6
70;white;6,15;0,21;0,37;3,2;0,021;20;80;0,99076;3,39;NA;12;5
71;white;6,15;0,21;0,37;3,2;0,021;NA;80;0,99076;3,39;0,47;12;5
72;white;6,6;0,36;0,29;1,6;0,021;24;85;NA;3,41;0,61;12.4;NA
73;white;5,5;0,34;0,26;2,2;0,021;31;119;NA;3,55;0,49;13;8,34
74;white;8,8;0,28;0,45;6;NA;14;49;0,9934;3,01;0,33;11.1;7,234
75;white;7,2;0,14;0,32;1,1;0,022;48;116;0,99218;NA;0,67;10;6
76;white;6,3;0,19;0,29;2;0,022;33;96;0,98902;3,04;0,54;12.8;7,456
77;white;7,2;0,3;0,3;8,7;0,022;14;111;0,99576;3,11;0,61;10.6;5
78;white;6,3;0,19;0,28;1,8;0,022;28;158;0,9907;3,2;0,64;11.4;6,324
79;white;6,5;0,32;0,45;7,7;0,022;31;97;0,99134;3,2;0,7;12.7;7,456
80;white;5,6;0,42;0,34;2,4;0,022;34;97;0,98915;3,22;0,38;12.8;7,456
81;white;6,7;0,19;0,34;1;0,022;22;94;0,9912;3,23;0,57;11.1;6,324
82;white;7,4;0,2;1,66;2,1;0,022;34;113;0,99165;3,26;0,55;12.2;6,324
83;white;6,3;0,23;0,31;1,5;0,022;11;82;0,9892;3,3;0,4;12.9;7,356
84;white;6,9;0,39;0,4;4,6;0,022;5;19;0,9915;3,31;0,37;12.6;3,58
85;white;5,4;0,27;0,22;4,6;0,022;29;107;0,98889;3,33;0,54;13.8;6
86;white;5,5;0,29;0,3;1,1;0,022;20;110;0,98869;3,34;0,38;12.8;7
87;white;5,9;0,29;0,32;1,4;0,022;17;47;0,9899;3,35;0,35;11.5;6
88;white;5,1;0,33;0,27;6,7;0,022;44;129;0,99221;3,36;0,39;11;7,456
89;white;6,3;0,15;0,3;1,4;0,022;38;100;0,99099;3,42;0,57;11.4;7,456
90;white;5,6;0,35;0,4;6,3;0,022;23;174;0,9922;3,54;0,5;11.6;7,456
91;white;8,1;0,2;0,28;0,9;0,023;49;87;0,99062;2,92;0,36;11.1;6
92;white;8,1;0,2;0,28;0,9;0,023;49;87;0,99062;2,92;0,36;11.1;6
93;white;7,1;0,27;0,28;1,25;0,023;3;89;0,98993;2,95;NA;11.4;4
94;white;6,2;0,41;0,22;1,9;0,023;5;56;0,98928;3,04;0,79;13;7
95;white;5,7;0,18;0,26;2,2;0,023;21;95;0,9893;3,07;0,54;12.3;6
96;white;6,9;0,19;0,38;1,15;0,023;30;105;0,99047;3,11;0,38;11.4;5
97;white;7,1;0,17;0,43;1,3;0,023;33;132;0,99067;3,11;0,56;11.7;6
98;white;6,8;0,32;0,37;3,4;0,023;19;87;0,9902;3,14;0,53;12.7;6,324
99;white;6,8;0,32;0,37;3,4;0,023;19;87;0,9902;3,14;0,53;12.7;6,324
100;white;7,2;0,26;0,24;7;0,023;19;130;0,99176;3,14;0,49;12.8;7,456
101;white;6,5;0,34;0,46;1;0,023;6;80;0,98865;3,15;0,54;12.9;6
102;white;6,4;0,22;0,34;1,4;0,023;56;115;0,98958;3,18;0,7;11.7;6
103;white;6,4;0,22;0,34;1,4;0,023;56;115;0,98958;3,18;0,7;11.7;6
104;white;5,6;0,23;0,29;3,1;0,023;19;89;0,99068;3,25;0,51;11.2;6
105;white;6,6;0,24;0,29;2;0,023;19;86;0,99;3,25;0,45;12.5;6,324
106;white;7,5;0,13;0,38;1,1;0,023;42;104;0,99112;3,28;0,53;11.8;6
107;white;6,3;0,41;0,33;4,7;0,023;28;110;0,991;3,3;0,38;12.5;7,456
108;white;6,7;0,24;0,32;9;0,023;20;109;0,99262;3,34;0,35;12.6;6
109;white;6,7;0,24;0,32;NA;0,023;20;109;0,99262;3,34;0,35;12.6;6
110;white;8,5;0,17;0,31;1;0,024;13;91;0,993;2,79;0,37;10.1;5,786
111;white;NA;0,17;0,31;1;0,024;13;91;0,993;2,79;0,37;NA;5,786
112;white;8,8;0,27;0,25;5;0,024;52;99;0,9925;2,87;0,49;11.4;5
113;white;6,3;0,37;0,37;1,5;0,024;12;76;0,98876;2,94;0,39;12.3;6
114;white;7,8;0,28;0,25;3,4;0,024;27;99;0,98959;2,98;0,37;13;NA
115;white;NA;0,22;0,3;8,9;0,024;17;118;0,99456;2,99;0,34;10.5;6
116;white;8,9;0,27;0,28;0,8;0,024;29;128;0,98984;3,01;NA;12.4;6
117;white;7,2;0,29;0,4;7,6;0,024;56;177;0,9928;3,04;0,32;11.5;6,324
118;white;7,2;0,29;0,4;7,6;0,024;56;177;0,9928;3,04;0,32;11.5;6,324
119;white;6,9;0,31;0,32;1,2;0,024;NA;166;0,99208;NA;0,54;9.8;6
120;white;6,9;0,31;0,32;1,2;0,024;20;166;0,99208;3,05;0,54;9.8;6
121;white;7,8;0,3;0,36;4,6;0,024;20;198;0,99222;3,06;0,66;11.9;6
122;white;7,5;0,25;0,32;8,2;0,024;53;NA;0,99563;3,12;0,46;10.8;6
123;white;7,1;0,47;0,29;14,8;0,024;22;142;0,99518;3,12;0,48;12;8,34
124;white;7,1;0,47;0,29;14,8;0,024;22;142;0,99518;3,12;0,48;12;8,34
125;white;8,9;0,26;0,33;8,1;0,024;47;202;0,99558;3,13;0,46;10.8;6
126;white;8;0,36;0,39;1,6;0,024;26;93;0,99116;3,15;0,49;11.9;6,875
127;white;6,9;0,25;0,26;5,2;0,024;36;135;0,9948;3,16;0,72;10.7;7
128;white;6,9;0,25;0,26;5,2;NA;36;135;0,9948;3,16;0,72;10.7;7
129;white;7,3;0,24;0,39;NA;NA;35;116;0,9928;3,17;0,51;10.9;5,786
130;white;6,3;0,25;0,44;1,7;0,024;36;116;0,98935;3,18;0,4;12.5;6
131;white;5,6;0,22;0,32;1,2;0,024;29;97;0,98823;3,2;0,46;13.05;7,456
132;white;6,5;0,25;0,2;1,4;0,024;29;101;0,9916;3,24;0,54;10.8;6,875
133;white;7,6;0,48;NA;7;0,024;14;130;0,9918;3,25;0,45;12.5;7,456
134;white;5,8;0,31;0,32;4,5;0,024;28;94;0,98906;3,25;0,52;13.7;7,456
135;white;5,8;0,31;0,32;4,5;0,024;28;94;0,98906;3,25;NA;13.7;7,456
136;white;6,6;0,23;0,32;1,7;0,024;26;102;0,99084;3,29;0,6;11.8;6
137;white;6,3;0,34;0,27;2,5;0,024;40;152;NA;3,35;0,6;11.9;7,456
138;white;5,8;0,22;0,25;1,5;0,024;NA;109;0,99234;3,37;0,58;10.4;6
139;white;6,8;0,37;0,28;1,9;0,024;64;106;0,98993;3,45;0,6;12.6;8
140;white;4,4;0,46;0,1;2,8;0,024;31;111;0,98816;3,48;0,34;13.1;6
141;white;7,4;0,2;0,35;6,1;0,025;10;40;0,99244;2,79;0,52;10.9;5
142;white;8,3;0,16;0,37;7,9;0,025;38;107;0,99306;2,93;0,37;11.9;6
143;white;8,3;0,16;0,37;7,9;0,025;NA;107;0,99306;2,93;0,37;11.9;6
144;white;7,8;0,26;0,31;3,6;0,025;22;100;0,99066;2,99;0,47;12.1;7,456
145;white;6,8;0,3;0,29;6,2;0,025;29;95;0,99071;3,03;0,32;12.9;7,456
146;white;7,3;0,3;0,42;7,35;0,025;51;175;0,9928;3,04;0,32;NA;6,324
147;white;7,1;0,26;0,37;5,5;0,025;31;105;0,99082;3,06;0,33;12.6;8,34
148;white;6;0,32;0,3;1,3;0,025;18;112;0,98802;3,07;0,64;NA;7,456
149;white;6,7;0,2;0,37;1,65;0,025;42;103;0,99022;3,11;0,45;11.4;5
150;white;6,7;NA;0,3;1,4;0,025;17;76;0,99104;3,11;0,44;11;6
151;white;7;0,32;0,29;7,6;0,025;35;124;0,99162;3,15;0,65;12.8;7,456
152;white;7;0,32;0,29;7,6;0,025;35;124;0,99162;3,15;0,65;12.8;7,456
153;white;NA;0,43;0,3;6,6;0,025;15;138;0,99126;3,18;0,46;12.6;6
154;white;7,4;0,36;0,33;1,4;0,025;27;55;0,9915;3,21;0,33;11.2;6,324
155;white;6,4;0,26;0,3;2,2;0,025;33;134;0,992;3,21;0,47;10.6;6,324
156;white;5,7;0,23;0,28;9,65;0,025;26;121;0,9925;3,28;0,38;11.3;6
157;white;6,7;0,26;0,29;5,8;0,025;26;74;0,9929;NA;0,53;11;6,875
158;white;5,6;0,27;0,37;0,9;0,025;11;49;0,98845;3,29;0,33;13.1;6
159;white;6,6;0,27;NA;1,9;0,025;14;153;0,9928;3,29;0,62;10.5;6,324
160;white;6,7;0,3;0,29;2,8;0,025;37;107;NA;3,31;0,63;11.3;7,456
161;white;6,7;0,3;0,29;2,8;0,025;37;107;0,99159;3,31;0,63;11.3;7,456
162;white;6,7;0,3;0,29;2,8;0,025;37;107;0,99159;3,31;0,63;11.3;7,456
163;white;5,7;0,44;0,13;7;0,025;28;173;0,9913;3,33;0,48;12.5;6,324
164;white;6,2;0,37;0,22;8,3;0,025;36;216;0,9964;3,33;NA;9.6;6,324
165;white;7,1;0,36;0,24;1,8;0,025;32;102;0,9903;3,34;0,59;12.8;6,567
166;white;6;0,23;0,34;1,3;0,025;23;111;0,98961;3,36;0,37;12.7;6
167;white;6;0,23;0,34;1,3;0,025;23;111;0,98961;3,36;0,37;12.7;6
168;white;6;0,16;0,37;1,5;0,025;43;117;0,9928;3,46;0,51;9.7;6,324
169;white;6,9;0,29;0,3;NA;0,026;35;112;0,99144;3;0,37;12.3;6
170;white;8,5;0,19;0,48;1,1;0,026;23;58;0,99184;2,9;0,5;10.5;6
171;white;NA;0,19;0,48;1,1;NA;23;58;0,99184;2,9;0,5;10.5;6
172;white;7,5;0,3;0,21;6,55;0,026;33;143;0,99244;2,92;0,35;11.1;5
173;white;9,2;0,25;0,34;1,2;0,026;31;93;0,9916;2,93;0,37;11.3;7,356
174;white;9,2;0,25;0,34;1,2;0,026;31;93;NA;2,93;0,37;11.3;7,356
175;white;9;0,55;0,3;8,1;0,026;14;71;0,993;2,94;0,36;11.8;5,786
176;white;9;0,55;0,3;8,1;0,026;14;71;0,993;2,94;0,36;11.8;5,786
177;white;6,2;0,28;0,28;4,3;0,026;22;105;0,989;2,98;0,64;13.1;8,34
178;white;6,9;0,28;0,3;8,3;0,026;37;113;0,99139;2,99;0,38;12.3;8,34
179;white;8,6;0,485;0,29;4,1;0,026;19;101;0,9918;3,01;NA;12.4;5,786
180;white;8,6;0,485;0,29;4,1;0,026;19;101;0,9918;3,01;0,38;12.4;5,786
181;white;7,8;0,16;0,41;1,7;0,026;29;140;0,991;3,02;0,78;12.5;6,324
182;white;7,8;0,16;0,41;1,7;0,026;29;140;0,991;3,02;0,78;12.5;6,324
183;white;7,9;NA;0,26;2;0,026;40;190;0,9932;3,04;0,39;11.2;6,324
184;white;8;0,45;0,36;8,8;0,026;50;151;0,9927;3,07;0,25;12.7;8
185;white;7,8;NA;0,24;1,6;0,026;26;189;0,991;3,08;0,74;NA;7
186;white;9,2;0,34;0,27;NA;0,026;17;73;0,9921;3,08;0,39;10.8;5,786
187;white;6,8;0,32;0,23;3,3;0,026;31;99;0,9896;3,1;0,4;12.4;6
188;white;7,7;0,31;0,36;4,3;0,026;15;87;0,99152;3,11;0,48;12;5
189;white;7,2;0,27;0,37;5,4;0,026;27;114;0,99174;3,13;0,84;12.7;5
190;white;8,3;0,14;0,36;8,8;0,026;13;60;NA;3,13;0,35;11.05;5
191;white;6;0,24;0,33;2,5;0,026;31;85;0,99014;3,13;0,5;11.3;7,456
192;white;6,6;0,24;0,3;NA;0,026;11;77;0,99381;3,13;0,55;NA;7,456
193;white;6,8;0,25;0,37;3,1;0,026;29;93;0,99035;3,14;0,45;12.2;6
194;white;7,1;0,21;0,37;2,4;0,026;23;100;0,9903;3,15;0,38;11.4;7
195;white;6,8;0,32;0,39;NA;0,026;34;124;0,99286;3,18;0,35;12.1;6
196;white;5,3;0,32;0,23;9,65;0,026;26;119;0,99168;3,18;0,53;12.2;6
197;white;5,7;0,4;0,35;5,1;0,026;17;113;0,99052;3,18;0,67;12.4;6
198;white;5,7;0,4;0,35;5,1;0,026;17;113;0,99052;3,18;0,67;12.4;6
199;NA;6,5;0,32;0,48;8;0,026;18;88;0,99144;3,22;0,79;12.7;4
200;white;6,6;0,26;0,21;2,9;0,026;48;126;0,99089;3,22;0,38;11.3;7,456
201;white;6,6;0,26;0,21;2,9;0,026;48;126;0,99089;3,22;0,38;11.3;7,456
202;white;6,6;0,21;0,38;2,2;0,026;40;104;0,9914;3,25;0,4;11.1;8
203;white;5,8;0,28;0,3;3,9;0,026;36;105;0,98963;3,26;0,58;12.75;6
204;white;5,8;0,28;0,3;3,9;0,026;36;105;0,98963;3,26;0,58;12.75;6
205;white;5,7;0,28;0,3;3,9;0,026;36;105;0,98963;3,26;0,58;12.75;6
206;white;6,7;0,19;0,36;1,9;0,026;426.408.156.734.746;167.516.369.469.044;0,9912;3,27;0,48;11;6,134
207;NA;6,7;0,19;0,36;1,1;0,026;63;143;0,9912;3,27;0,48;11;6,324
208;white;6,8;0,23;0,32;1,6;0,026;43;147;0,9904;3,29;0,54;12.5;6,324
209;white;6,2;0,29;0,32;3,6;0,026;39;138;0,9892;3,31;0,37;13.1;7,456
210;white;5,8;0,28;0,3;1,5;0,026;31;114;0,98952;3,32;0,6;12.5;7,456
211;white;5,5;0,16;0,31;1,2;0,026;31;68;0,9898;3,33;0,44;116.333.333.333.333;6
212;white;5,5;0,16;0,31;NA;0,026;31;68;0,9898;3,33;0,44;11.65;6
213;white;6,7;0,16;0,34;1,6;0,026;27;109;0,9934;3,34;0,58;10.1;6
214;white;NA;0,29;0,28;8,3;0,026;27;107;0,99308;NA;0,37;11;6
215;white;5,1;0,29;0,28;8,3;0,026;27;107;0,99308;3,36;0,37;11;6
216;white;6,6;0,21;0,29;1,8;0,026;35;NA;0,99183;3,37;0,48;11.2;6
217;white;5,8;0,315;0,27;1,55;0,026;15;70;0,98994;3,37;0,4;11.9;8
218;white;5,4;0,46;NA;2,1;0,026;29;NA;0,98953;3,39;0,77;13.4;8
219;white;5,4;0,46;0,15;2,1;0,026;29;130;0,98953;3,39;0,77;13.4;8
220;white;6;0,25;0,28;2,2;0,026;54;126;0,9898;3,43;0,65;12.9;8,345
221;white;7;0,14;NA;1,3;0,026;10;56;NA;3,46;0,45;9.9;5
222;white;5;0,17;0,56;1,5;0,026;24;115;0,9906;3,48;0,39;NA;7,356
223;white;7,9;0,34;0,44;6,5;0,027;47;126;0,99124;2,96;0,37;12.5;6
224;white;NA;0,34;0,44;6,5;0,027;47;126;0,99124;2,96;0,37;12.5;6
225;white;7,4;0,22;0,26;8,8;0,027;23;112;0,9931;2,98;0,41;11.4;6
226;white;6,5;0,23;0,45;2,1;0,027;43;104;0,99054;3,02;0,52;11.3;NA
227;white;7,2;0,26;0,44;7,1;0,027;25;126;0,993;NA;0,34;11.1;8
228;white;7,8;0,26;0,49;3,2;0,027;28;87;0,9919;3,03;0,32;11.3;NA
229;white;7,8;0,26;NA;3,2;0,027;28;87;0,9919;3,03;0,32;11.3;7
230;white;7;0,22;0,26;9,2;0,027;37;122;0,99228;3,06;0,34;12.5;8
231;white;7;0,22;0,26;9,2;0,027;37;122;0,99228;3,06;0,34;12.5;8
232;white;9,4;0,42;0,32;6,5;0,027;20;167;0,99479;3,08;0,43;10.6;5
233;white;NA;0,19;0,37;0,8;0,027;3;21;0,9897;3,09;0,31;10.8;5
234;white;6,8;0,32;0,33;0,7;0,027;15;66;0,9899;3,11;NA;11.8;6
235;white;6,6;0,29;0,73;2,2;0,027;21;92;0,99;3,12;0,48;12.4;6
236;white;8,3;NA;0,4;1,3;0,027;428.007.455.940.353;168.763.257.893.937;0,992;3,12;0,38;10.8;6,134
237;white;8,2;0,23;0,4;1,2;0,027;36;121;0,992;3,12;0,38;10.7;6,324
238;white;5,9;0,17;0,28;0,7;0,027;5;NA;0,98985;3,13;0,32;10.6;5
239;white;7,8;0,31;0,4;1,6;0,027;20;87;0,9911;3,15;0,48;11.9;6
240;white;7,5;NA;0,3;4,6;0,027;29;92;0,99085;3,15;0,38;12;7,456
241;NA;6,8;0,18;0,28;1,1;0,027;32;112;0,99089;3,15;0,45;11;7,456
242;white;7;0,32;0,27;7,1;0,027;37;122;0,99165;3,15;0,6;12.6;7,456
243;white;6,9;0,24;0,37;6,1;0,027;38;NA;0,99086;3,19;0,34;12.4;6
244;white;6,4;0,55;0,26;9,6;0,027;20;104;0,9924;3,22;0,73;13.1;6
245;white;5,5;0,31;0,29;3;0,027;16;102;0,99067;3,23;0,56;11.2;6
246;white;6,5;0,24;0,38;1;0,027;31;90;0,98926;3,24;0,36;12.3;6
247;white;NA;0,24;NA;1;0,027;31;90;0,98926;3,24;0,36;12.3;6
248;white;6,7;NA;0,37;1,3;0,027;42;125;0,98939;3,24;0,37;12.8;7,456
249;white;6,6;0,29;0,31;3,9;0,027;39;96;0,99035;3,24;0,6;12.6;8,34
250;white;6,9;0,33;0,26;5;0,027;46;NA;0,9924;3,25;0,43;11.2;7,456
251;white;6,9;0,33;0,26;5;0,027;46;143;0,9924;3,25;0,43;11.2;7,456
252;white;6,5;0,46;0,31;5;0,027;15;72;0,99165;3,26;0,6;11.5;7,456
253;white;6,6;0,33;0,41;2;0,027;14;79;0,99063;3,27;0,63;12.4;6
254;white;6,5;0,37;0,33;3,9;0,027;40;130;0,9906;3,28;0,39;12.7;7,123
255;NA;6,5;0,24;0,36;2,2;0,027;36;134;0,9898;3,28;0,36;12.5;7,456
256;white;5,9;0,445;0,26;1,4;0,027;23;109;0,99148;3,3;0,36;10.5;6
257;white;7,1;0,34;0,49;1,5;0,027;26;126;0,99;3,3;0,33;12.2;7
258;NA;6,8;0,18;0,37;1,5;0,027;37;93;0,992;3,3;0,45;10.8;6,324
259;white;NA;0,21;0,24;4,4;NA;37;150;0,991;3,3;0,31;11.5;7,456
260;white;6,5;0,16;0,33;1;0,027;23;75;0,9908;3,3;0,39;11.4;7,456
261;white;6,3;0,41;0,18;3,5;0,027;23;109;0,99018;3,34;0,54;12.8;8
262;white;5,1;0,26;0,33;1,1;0,027;46;113;0,98946;3,35;0,43;11.4;7
263;white;5,7;0,22;0,28;1,3;0,027;26;101;NA;3,35;0,38;12.5;7,456
264;white;5,8;0,32;0,2;2,6;0,027;17;123;0,98936;3,36;0,78;13.9;7,456
265;white;5,9;0,32;0,33;2,1;0,027;35;138;0,98945;3,37;0,42;NA;6
266;white;7,2;0,15;0,33;1,1;0,027;16;63;0,9937;3,37;0,4;9.9;5,786
267;white;5,8;NA;0,47;7,5;0,027;12;88;0,9907;3,38;0,45;14;6
268;white;6;0,36;0,39;3,2;0,027;20;125;0,991;3,38;0,39;11.3;7,356
269;white;6,9;0,2;0,37;6,2;0,027;24;97;0,992;3,38;0,49;12.2;7,356
270;white;7,3;0,19;0,27;1,6;0,027;35;136;0,99248;3,38;0,54;11;7,456
271;white;5,6;0,19;0,31;2,7;0,027;11;NA;0,98964;3,46;0,4;13.2;7,456
272;white;5,9;0,14;0,25;4,5;0,027;34;140;0,9934;3,49;0,51;10.8;6,324
273;white;5,1;0,33;0,22;1,6;0,027;18;89;0,9893;3,51;0,38;12.5;7,356
274;white;5,1;0,33;0,22;1,6;0,027;18;89;0,9893;3,51;NA;12.5;7,356
275;white;5,1;0,33;0,22;1,6;0,027;18;89;0,9893;3,51;0,38;12.5;7,356
276;white;6,3;0,2;0,26;1,6;0,027;36;141;0,99268;3,53;0,56;10.8;6,875
277;white;5,2;NA;0,2;2,4;0,027;27;117;0,98886;3,56;0,45;NA;7,456
278;white;7,8;0,28;0,34;NA;0,028;32;118;0,9901;3;0,38;12.1;7,356
279;white;7,8;0,28;0,34;1,6;NA;32;118;0,9901;3;0,38;12.1;7,356
280;white;8,5;0,18;0,3;1,1;0,028;34;95;0,99272;2,83;0,36;NA;4
281;white;8,9;0,13;0,49;1;0,028;6;24;0,9926;2,91;NA;9.9;5,786
282;white;8,9;0,13;0,49;1;0,028;6;24;0,9926;2,91;0,32;9.9;5,786
283;white;6,7;0,14;0,51;4,3;0,028;57;124;0,99176;2,91;0,54;10.7;7,456
284;white;8,8;0,19;0,3;5;0,028;34;120;0,99242;2,94;0,47;11.2;5
285;white;7,4;0,25;0,28;7,25;0,028;14;78;0,99238;2,94;0,37;11.5;7,456
286;white;7,4;0,25;0,28;7,25;0,028;14;78;0,99238;2,94;NA;11.5;7,456
287;white;8,4;0,22;0,28;18,8;0,028;55;130;0,998;2,96;0,35;11.6;5
288;white;7,1;0,28;0,35;3,5;0,028;35;NA;0,99022;2,96;0,33;12.1;NA
289;white;6,8;0,3;0,27;11,6;0,028;22;97;0,99314;2,96;0,38;11.7;6
290;white;6,8;0,3;0,27;11,6;0,028;22;97;0,99314;2,96;0,38;11.7;6
291;white;8,2;0,37;0,27;NA;NA;10;59;0,9923;2,97;0,48;10.4;5,786
292;white;7,5;0,28;0,34;4,2;0,028;36;116;0,991;2,99;0,41;12.3;8
293;white;7,7;0,27;0,34;1,8;0,028;26;168;0,9911;2,99;0,48;12.1;7,123
