"age";"job";"marital";"education";"default";"balance";"housing";"loan";"contact";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
37;"blue-collar";"married";"secondary";"no";-97;"yes";"no";"unknown";5;"jun";135;2;-1;0;"unknown";"0"
31;"services";"single";"secondary";"no";222;"yes";"no";"cellular";13;"may";168;2;-1;0;"unknown";"0"
42;"technician";"married";"secondary";"no";234;"no";"no";"cellular";4;"feb";765;2;-1;0;"unknown";"0"
34;"services";"single";"primary";"no";25;"yes";"yes";"cellular";9;"apr";96;4;314;8;"other";"0"
37;"technician";"married";"secondary";"no";1762;"no";"no";"cellular";16;"apr";334;2;-1;0;"unknown";"1"
59;"blue-collar";"married";"primary";"no";80;"yes";"no";"telephone";31;"jul";46;21;-1;0;"unknown";"0"
54;"management";"married";"primary";"yes";0;"yes";"yes";"cellular";6;"may";95;1;-1;0;"unknown";"0"
54;"blue-collar";"married";"primary";"no";1357;"yes";"yes";"cellular";5;"may";305;5;349;7;"other";"0"
59;"admin.";"married";"secondary";"no";-198;"yes";"yes";"cellular";8;"may";206;1;-1;0;"unknown";"0"
33;"management";"single";"tertiary";"no";2059;"no";"no";"cellular";29;"aug";106;2;-1;0;"unknown";"0"
24;"services";"single";"secondary";"no";258;"yes";"no";"cellular";18;"may";248;1;-1;0;"unknown";"0"
29;"technician";"single";"tertiary";"no";2269;"yes";"no";"cellular";20;"apr";53;1;346;1;"failure";"0"
49;"blue-collar";"married";"secondary";"no";0;"no";"no";"cellular";14;"aug";189;4;-1;0;"unknown";"0"
37;"technician";"married";"secondary";"no";77;"yes";"yes";"cellular";21;"nov";44;1;-1;0;"unknown";"0"
28;"blue-collar";"married";"primary";"no";254;"yes";"no";"cellular";20;"apr";149;2;-1;0;"unknown";"0"
82;"retired";"married";"primary";"no";103;"no";"no";"cellular";1;"sep";368;1;-1;0;"unknown";"0"
57;"blue-collar";"married";"primary";"no";452;"yes";"no";"unknown";13;"may";139;4;-1;0;"unknown";"0"
39;"technician";"single";"unknown";"no";45248;"yes";"no";"unknown";6;"may";1623;1;-1;0;"unknown";"1"
39;"management";"single";"tertiary";"no";0;"no";"no";"cellular";25;"aug";342;5;-1;0;"unknown";"0"
33;"technician";"married";"secondary";"no";620;"no";"no";"cellular";14;"aug";106;2;-1;0;"unknown";"0"
32;"blue-collar";"married";"secondary";"no";2263;"no";"no";"cellular";7;"may";113;2;-1;0;"unknown";"0"
24;"blue-collar";"single";"secondary";"no";8594;"yes";"no";"unknown";28;"may";181;1;-1;0;"unknown";"0"
52;"technician";"married";"secondary";"no";306;"no";"no";"cellular";25;"aug";265;4;-1;0;"unknown";"0"
32;"management";"single";"tertiary";"no";10281;"no";"no";"cellular";22;"apr";400;1;-1;0;"unknown";"1"
33;"technician";"single";"tertiary";"no";469;"no";"no";"cellular";26;"aug";158;9;-1;0;"unknown";"0"
31;"management";"single";"tertiary";"no";86;"no";"no";"cellular";29;"jan";100;1;170;4;"failure";"0"
42;"management";"married";"tertiary";"no";477;"yes";"no";"unknown";5;"jun";517;3;-1;0;"unknown";"0"
27;"blue-collar";"married";"primary";"no";1;"yes";"no";"cellular";5;"may";49;2;-1;0;"unknown";"0"
32;"technician";"married";"secondary";"no";0;"yes";"yes";"cellular";10;"jul";428;1;-1;0;"unknown";"0"
30;"management";"single";"tertiary";"no";0;"yes";"no";"cellular";5;"may";381;1;342;7;"failure";"0"
42;"admin.";"divorced";"secondary";"no";-172;"yes";"yes";"unknown";4;"jun";179;1;-1;0;"unknown";"0"
43;"blue-collar";"married";"secondary";"no";2706;"yes";"yes";"unknown";14;"may";44;1;-1;0;"unknown";"0"
27;"technician";"single";"tertiary";"no";808;"yes";"no";"cellular";15;"may";578;1;364;1;"other";"0"
57;"technician";"divorced";"secondary";"no";164;"no";"no";"unknown";9;"jun";139;2;-1;0;"unknown";"0"
32;"unemployed";"single";"secondary";"no";331;"yes";"no";"unknown";9;"may";211;2;-1;0;"unknown";"0"
31;"admin.";"single";"secondary";"no";1374;"yes";"no";"cellular";18;"may";290;2;370;1;"failure";"0"
36;"blue-collar";"married";"primary";"no";0;"yes";"no";"cellular";18;"nov";618;2;-1;0;"unknown";"0"
31;"management";"married";"secondary";"no";625;"yes";"no";"cellular";7;"apr";424;1;138;1;"failure";"0"
39;"blue-collar";"married";"secondary";"no";747;"yes";"yes";"cellular";19;"nov";209;2;180;1;"other";"0"
42;"services";"married";"primary";"no";124;"yes";"no";"cellular";2;"feb";164;2;262;2;"failure";"0"
68;"retired";"married";"primary";"no";0;"no";"no";"telephone";15;"jan";814;1;-1;0;"unknown";"0"
56;"technician";"married";"tertiary";"no";787;"no";"yes";"cellular";9;"jul";92;1;-1;0;"unknown";"0"
46;"technician";"divorced";"tertiary";"no";405;"yes";"no";"unknown";15;"may";231;1;-1;0;"unknown";"0"
35;"admin.";"married";"tertiary";"no";-272;"no";"yes";"cellular";29;"jan";309;1;197;13;"other";"0"
50;"services";"married";"secondary";"no";57435;"yes";"no";"cellular";21;"nov";319;3;-1;0;"unknown";"0"
50;"blue-collar";"married";"primary";"no";167;"no";"no";"cellular";19;"nov";189;1;-1;0;"unknown";"0"
60;"housemaid";"divorced";"secondary";"no";2063;"no";"no";"cellular";21;"aug";54;5;86;3;"failure";"0"
32;"technician";"married";"tertiary";"no";0;"yes";"no";"cellular";2;"jun";149;1;-1;0;"unknown";"0"
30;"admin.";"single";"secondary";"no";255;"no";"no";"cellular";27;"jan";143;1;-1;0;"unknown";"1"
48;"services";"single";"primary";"no";204;"yes";"no";"cellular";22;"jul";134;1;-1;0;"unknown";"0"
30;"admin.";"single";"secondary";"no";648;"no";"no";"cellular";19;"oct";54;1;-1;0;"unknown";"0"
31;"blue-collar";"married";"primary";"no";33;"yes";"no";"cellular";24;"jul";901;2;-1;0;"unknown";"1"
45;"blue-collar";"married";"secondary";"no";430;"no";"yes";"cellular";21;"aug";140;2;-1;0;"unknown";"0"
35;"blue-collar";"married";"secondary";"no";260;"yes";"no";"telephone";13;"may";155;6;-1;0;"unknown";"0"
26;"admin.";"single";"secondary";"no";0;"yes";"no";"cellular";13;"may";204;3;-1;0;"unknown";"0"
32;"admin.";"married";"secondary";"no";1604;"no";"yes";"cellular";7;"jul";625;1;-1;0;"unknown";"1"
50;"technician";"married";"secondary";"no";-568;"yes";"yes";"unknown";28;"may";860;2;-1;0;"unknown";"0"
34;"technician";"married";"secondary";"no";966;"yes";"no";"cellular";18;"may";16;4;273;7;"other";"0"
29;"blue-collar";"married";"unknown";"no";356;"yes";"no";"unknown";4;"jun";169;2;-1;0;"unknown";"0"
29;"blue-collar";"married";"secondary";"no";2378;"yes";"yes";"cellular";20;"apr";239;1;276;6;"failure";"0"
75;"retired";"divorced";"primary";"no";852;"no";"no";"cellular";16;"sep";228;1;185;1;"failure";"0"
72;"retired";"married";"primary";"no";1388;"no";"no";"telephone";20;"oct";513;1;-1;0;"unknown";"1"
48;"blue-collar";"married";"secondary";"no";1230;"yes";"yes";"unknown";7;"may";152;3;-1;0;"unknown";"0"
37;"management";"married";"tertiary";"no";9895;"yes";"no";"cellular";20;"nov";352;3;-1;0;"unknown";"0"
34;"technician";"single";"secondary";"no";27446;"yes";"no";"cellular";21;"nov";203;2;-1;0;"unknown";"0"
44;"management";"married";"primary";"no";1880;"yes";"no";"cellular";18;"nov";34;1;124;6;"failure";"0"
35;"services";"married";"secondary";"no";0;"yes";"no";"unknown";21;"may";190;5;-1;0;"unknown";"0"
28;"student";"married";"tertiary";"no";803;"yes";"no";"cellular";25;"may";324;1;-1;0;"unknown";"0"
25;"blue-collar";"single";"secondary";"no";158;"yes";"yes";"cellular";16;"jul";231;2;-1;0;"unknown";"0"
51;"blue-collar";"married";"secondary";"no";328;"no";"no";"unknown";4;"jul";203;1;-1;0;"unknown";"0"
44;"unemployed";"divorced";"secondary";"no";522;"no";"no";"cellular";7;"apr";411;1;-1;0;"unknown";"0"
47;"blue-collar";"married";"primary";"no";550;"yes";"no";"unknown";7;"may";113;1;-1;0;"unknown";"0"
59;"retired";"divorced";"secondary";"no";602;"no";"no";"unknown";20;"jun";89;3;-1;0;"unknown";"0"
38;"blue-collar";"married";"primary";"no";467;"yes";"no";"unknown";16;"may";379;1;-1;0;"unknown";"0"
39;"management";"single";"tertiary";"no";1682;"yes";"no";"unknown";2;"jun";174;1;-1;0;"unknown";"0"
43;"technician";"divorced";"secondary";"no";305;"yes";"no";"cellular";5;"may";674;2;250;4;"failure";"0"
45;"management";"divorced";"tertiary";"no";24598;"yes";"no";"unknown";5;"may";313;3;-1;0;"unknown";"0"
24;"blue-collar";"single";"primary";"no";2129;"yes";"yes";"telephone";18;"may";51;1;-1;0;"unknown";"0"
24;"self-employed";"single";"tertiary";"no";931;"yes";"no";"unknown";28;"may";200;4;-1;0;"unknown";"0"
69;"technician";"married";"secondary";"no";9064;"no";"no";"cellular";7;"aug";714;1;-1;0;"unknown";"1"
37;"blue-collar";"single";"unknown";"no";2188;"no";"no";"unknown";16;"may";193;8;-1;0;"unknown";"0"
29;"technician";"single";"tertiary";"no";-803;"yes";"yes";"cellular";6;"may";827;1;329;9;"failure";"0"
51;"blue-collar";"married";"primary";"no";-11;"no";"no";"telephone";16;"jul";126;4;-1;0;"unknown";"0"
26;"student";"single";"secondary";"no";5296;"no";"no";"telephone";12;"aug";127;1;-1;0;"unknown";"0"
53;"admin.";"divorced";"tertiary";"no";122;"no";"no";"cellular";27;"apr";98;1;-1;0;"unknown";"0"
41;"services";"married";"secondary";"no";6687;"yes";"no";"cellular";21;"nov";41;2;123;3;"failure";"0"
42;"blue-collar";"married";"secondary";"no";902;"yes";"no";"unknown";14;"may";71;1;-1;0;"unknown";"0"
25;"entrepreneur";"married";"tertiary";"no";30;"yes";"no";"cellular";24;"jul";254;2;-1;0;"unknown";"0"
39;"technician";"single";"secondary";"no";1048;"yes";"yes";"cellular";8;"apr";201;2;-1;0;"unknown";"0"
50;"services";"married";"secondary";"no";1687;"no";"no";"cellular";19;"aug";205;5;-1;0;"unknown";"0"
55;"blue-collar";"married";"primary";"no";771;"no";"no";"cellular";29;"aug";98;19;-1;0;"unknown";"0"
34;"admin.";"single";"secondary";"no";663;"yes";"no";"cellular";20;"apr";111;1;-1;0;"unknown";"0"
31;"technician";"divorced";"tertiary";"no";2287;"yes";"no";"unknown";21;"may";97;1;-1;0;"unknown";"0"
32;"technician";"single";"secondary";"yes";-1;"no";"no";"cellular";29;"aug";185;2;-1;0;"unknown";"0"
56;"blue-collar";"married";"secondary";"no";1686;"no";"no";"telephone";17;"apr";100;2;-1;0;"unknown";"0"
51;"blue-collar";"married";"secondary";"no";1779;"yes";"no";"unknown";15;"may";99;2;-1;0;"unknown";"0"
25;"blue-collar";"married";"secondary";"no";316;"yes";"yes";"unknown";19;"may";360;2;-1;0;"unknown";"0"
33;"management";"divorced";"tertiary";"no";312;"yes";"yes";"cellular";13;"may";23;1;359;3;"failure";"0"
54;"management";"married";"secondary";"yes";5249;"yes";"no";"cellular";17;"nov";108;1;-1;0;"unknown";"0"
34;"entrepreneur";"married";"secondary";"no";2;"yes";"yes";"cellular";5;"may";184;1;167;6;"failure";"0"
39;"technician";"single";"secondary";"no";175;"no";"yes";"unknown";16;"jun";757;2;-1;0;"unknown";"0"
45;"technician";"married";"secondary";"no";406;"yes";"no";"cellular";3;"jun";240;1;307;10;"other";"0"
43;"blue-collar";"married";"primary";"no";-454;"yes";"no";"unknown";7;"may";322;2;-1;0;"unknown";"0"
54;"technician";"divorced";"secondary";"no";-11;"yes";"no";"cellular";12;"may";168;4;-1;0;"unknown";"0"
34;"services";"divorced";"secondary";"no";27;"yes";"no";"cellular";6;"may";192;1;-1;0;"unknown";"0"
45;"technician";"married";"secondary";"no";3395;"yes";"no";"cellular";18;"nov";92;1;188;1;"failure";"0"
38;"services";"divorced";"secondary";"no";49;"yes";"no";"cellular";18;"may";43;1;367;2;"success";"0"
33;"blue-collar";"divorced";"secondary";"no";1;"no";"no";"unknown";16;"jun";66;5;-1;0;"unknown";"0"
27;"student";"single";"tertiary";"no";24;"yes";"no";"cellular";2;"feb";344;2;-1;0;"unknown";"0"
53;"management";"divorced";"tertiary";"no";2894;"yes";"no";"cellular";5;"may";163;1;-1;0;"unknown";"0"
32;"admin.";"single";"secondary";"no";6042;"yes";"no";"cellular";15;"may";183;1;361;1;"failure";"0"
37;"blue-collar";"single";"tertiary";"no";481;"no";"no";"cellular";18;"may";11;8;-1;0;"unknown";"0"
51;"blue-collar";"married";"primary";"no";7098;"no";"no";"cellular";6;"aug";1471;7;-1;0;"unknown";"1"
55;"retired";"married";"secondary";"no";123;"no";"no";"cellular";28;"aug";70;8;-1;0;"unknown";"0"
61;"retired";"married";"secondary";"no";280;"yes";"no";"unknown";15;"may";88;3;-1;0;"unknown";"0"
41;"technician";"married";"tertiary";"no";139;"no";"no";"cellular";18;"aug";781;2;-1;0;"unknown";"0"
39;"blue-collar";"married";"secondary";"no";1042;"yes";"no";"unknown";8;"may";58;2;-1;0;"unknown";"0"
34;"blue-collar";"single";"secondary";"no";1423;"yes";"no";"cellular";21;"nov";55;2;-1;0;"unknown";"0"
37;"management";"married";"tertiary";"no";591;"yes";"no";"cellular";7;"may";181;2;255;5;"failure";"0"
30;"management";"married";"tertiary";"no";1235;"no";"no";"cellular";28;"jan";119;2;-1;0;"unknown";"0"
54;"unemployed";"divorced";"secondary";"no";3721;"yes";"no";"cellular";30;"jul";163;1;-1;0;"unknown";"0"
47;"technician";"divorced";"secondary";"no";1851;"yes";"no";"unknown";19;"may";140;2;-1;0;"unknown";"0"
32;"unemployed";"married";"tertiary";"no";283;"yes";"no";"cellular";22;"jul";151;2;-1;0;"unknown";"0"
42;"admin.";"single";"secondary";"no";2095;"yes";"no";"cellular";21;"nov";752;3;-1;0;"unknown";"0"
52;"blue-collar";"divorced";"primary";"no";-97;"yes";"yes";"unknown";9;"may";167;4;-1;0;"unknown";"0"
83;"retired";"single";"primary";"no";3349;"no";"no";"telephone";12;"feb";89;1;-1;0;"unknown";"0"
42;"technician";"single";"secondary";"no";0;"yes";"no";"unknown";7;"may";275;4;-1;0;"unknown";"0"
38;"management";"single";"tertiary";"no";3141;"no";"no";"cellular";9;"nov";347;4;189;2;"success";"1"
56;"unemployed";"married";"secondary";"no";-246;"no";"yes";"cellular";28;"jan";461;2;204;2;"failure";"0"
52;"management";"divorced";"tertiary";"no";0;"no";"no";"cellular";4;"feb";74;1;-1;0;"unknown";"0"
56;"services";"divorced";"unknown";"no";1877;"yes";"no";"unknown";30;"may";86;1;-1;0;"unknown";"0"
55;"technician";"married";"secondary";"no";0;"yes";"yes";"cellular";2;"mar";116;1;-1;0;"unknown";"1"
56;"technician";"divorced";"secondary";"no";3450;"no";"no";"cellular";10;"aug";507;1;181;2;"success";"1"
29;"technician";"single";"tertiary";"no";673;"yes";"no";"cellular";9;"feb";835;3;-1;0;"unknown";"1"
73;"retired";"married";"primary";"no";542;"no";"no";"cellular";26;"oct";355;1;180;5;"failure";"1"
62;"housemaid";"married";"secondary";"no";2;"no";"no";"cellular";3;"nov";322;1;-1;0;"unknown";"1"
56;"management";"married";"tertiary";"no";-762;"yes";"yes";"cellular";11;"jul";348;2;-1;0;"unknown";"0"
36;"technician";"married";"primary";"no";1653;"yes";"yes";"unknown";27;"may";336;10;-1;0;"unknown";"0"
32;"blue-collar";"married";"primary";"no";50;"yes";"no";"cellular";13;"may";275;1;370;2;"failure";"0"
48;"management";"married";"tertiary";"no";14530;"yes";"yes";"telephone";29;"jul";863;10;-1;0;"unknown";"0"
31;"admin.";"single";"secondary";"no";358;"yes";"no";"unknown";14;"may";180;1;-1;0;"unknown";"0"
26;"blue-collar";"single";"secondary";"no";3145;"no";"no";"cellular";28;"dec";1141;1;209;1;"other";"1"
27;"blue-collar";"single";"secondary";"no";1311;"yes";"no";"unknown";13;"may";805;2;-1;0;"unknown";"0"
56;"services";"married";"primary";"no";486;"no";"yes";"telephone";21;"jul";1877;1;-1;0;"unknown";"1"
31;"management";"single";"tertiary";"no";34;"no";"no";"cellular";22;"aug";121;1;-1;0;"unknown";"0"
36;"blue-collar";"married";"secondary";"no";0;"no";"no";"unknown";5;"jun";174;1;-1;0;"unknown";"0"
53;"technician";"married";"unknown";"no";6921;"yes";"no";"cellular";19;"nov";130;3;188;2;"other";"0"
39;"blue-collar";"married";"secondary";"no";98;"no";"no";"cellular";31;"jul";119;1;-1;0;"unknown";"0"
82;"retired";"divorced";"primary";"no";928;"no";"no";"telephone";23;"sep";217;2;188;3;"other";"0"
30;"technician";"married";"secondary";"no";671;"no";"no";"cellular";11;"aug";96;2;-1;0;"unknown";"0"
31;"technician";"married";"secondary";"no";535;"no";"no";"cellular";8;"aug";81;2;-1;0;"unknown";"0"
47;"self-employed";"married";"tertiary";"no";-80;"yes";"no";"cellular";6;"feb";150;3;270;2;"failure";"0"
58;"unemployed";"married";"primary";"no";3884;"no";"no";"unknown";9;"jul";399;8;-1;0;"unknown";"0"
55;"management";"married";"tertiary";"no";1402;"yes";"no";"cellular";17;"nov";66;1;-1;0;"unknown";"0"
25;"admin.";"single";"secondary";"no";425;"no";"no";"cellular";27;"may";100;1;-1;0;"unknown";"0"
31;"blue-collar";"single";"secondary";"no";-161;"no";"no";"cellular";11;"jul";196;2;-1;0;"unknown";"0"
53;"technician";"married";"secondary";"no";2647;"yes";"no";"unknown";30;"may";121;1;-1;0;"unknown";"0"
43;"blue-collar";"married";"primary";"no";517;"yes";"no";"cellular";20;"apr";138;2;263;7;"failure";"0"
56;"entrepreneur";"married";"tertiary";"no";40;"no";"yes";"cellular";11;"jul";123;2;-1;0;"unknown";"0"
51;"technician";"married";"secondary";"no";8758;"no";"no";"telephone";31;"jul";92;2;-1;0;"unknown";"0"
34;"admin.";"married";"secondary";"no";764;"no";"no";"cellular";9;"feb";89;2;-1;0;"unknown";"0"
45;"management";"married";"secondary";"no";446;"no";"no";"cellular";6;"aug";304;3;-1;0;"unknown";"1"
60;"blue-collar";"married";"primary";"no";5;"no";"no";"cellular";29;"jan";533;1;92;1;"success";"1"
46;"management";"single";"tertiary";"no";6651;"no";"no";"cellular";23;"mar";233;1;-1;0;"unknown";"0"
40;"entrepreneur";"married";"secondary";"no";0;"yes";"no";"cellular";22;"jul";117;1;-1;0;"unknown";"0"
53;"management";"married";"tertiary";"no";913;"yes";"no";"unknown";9;"may";244;4;-1;0;"unknown";"0"
57;"admin.";"married";"unknown";"no";596;"no";"no";"cellular";29;"jan";90;1;-1;0;"unknown";"0"
25;"blue-collar";"single";"primary";"no";-221;"yes";"no";"unknown";23;"may";250;1;-1;0;"unknown";"0"
31;"unemployed";"divorced";"tertiary";"no";756;"no";"no";"cellular";20;"jul";355;2;-1;0;"unknown";"1"
64;"retired";"married";"secondary";"no";1612;"no";"no";"cellular";18;"may";336;1;89;5;"failure";"1"
37;"admin.";"married";"secondary";"no";1314;"yes";"no";"cellular";12;"feb";118;4;210;3;"failure";"1"
30;"admin.";"single";"secondary";"no";1009;"yes";"no";"cellular";29;"jan";253;1;-1;0;"unknown";"0"
37;"admin.";"single";"secondary";"no";781;"no";"no";"cellular";20;"aug";75;1;-1;0;"unknown";"0"
48;"blue-collar";"married";"secondary";"no";5078;"yes";"no";"telephone";8;"may";139;1;-1;0;"unknown";"0"
48;"blue-collar";"married";"primary";"no";8;"no";"no";"cellular";20;"aug";43;2;-1;0;"unknown";"0"
50;"services";"married";"secondary";"no";1134;"no";"no";"unknown";18;"jun";53;2;-1;0;"unknown";"0"
38;"admin.";"married";"secondary";"no";689;"yes";"no";"cellular";25;"jul";270;1;-1;0;"unknown";"0"
43;"self-employed";"married";"secondary";"no";634;"yes";"no";"cellular";17;"nov";65;1;131;1;"failure";"0"
31;"technician";"single";"secondary";"no";9;"no";"no";"cellular";7;"jul";167;2;-1;0;"unknown";"0"
48;"management";"married";"tertiary";"no";1147;"no";"no";"cellular";3;"dec";155;1;120;3;"success";"1"
40;"admin.";"single";"secondary";"no";963;"yes";"no";"cellular";7;"apr";479;1;-1;0;"unknown";"0"
63;"entrepreneur";"married";"secondary";"no";3904;"no";"no";"telephone";4;"aug";250;2;187;2;"success";"1"
41;"management";"married";"tertiary";"no";23;"no";"no";"cellular";22;"aug";80;2;-1;0;"unknown";"0"
23;"services";"single";"secondary";"no";665;"yes";"no";"unknown";28;"may";1183;1;-1;0;"unknown";"1"
29;"management";"single";"tertiary";"no";536;"no";"no";"cellular";29;"jan";418;2;-1;0;"unknown";"0"
52;"blue-collar";"single";"tertiary";"yes";-517;"no";"yes";"cellular";10;"jul";340;1;-1;0;"unknown";"0"
44;"entrepreneur";"married";"secondary";"yes";-848;"yes";"no";"unknown";19;"may";468;1;-1;0;"unknown";"0"
39;"technician";"married";"secondary";"no";375;"yes";"yes";"telephone";17;"apr";777;2;-1;0;"unknown";"0"
49;"blue-collar";"married";"primary";"no";371;"yes";"no";"cellular";31;"jul";18;44;-1;0;"unknown";"0"
34;"admin.";"married";"secondary";"no";95;"yes";"no";"cellular";18;"may";114;4;364;22;"other";"0"
33;"technician";"married";"tertiary";"no";148;"no";"no";"cellular";27;"aug";15;20;-1;0;"unknown";"0"
51;"blue-collar";"divorced";"primary";"no";886;"no";"no";"unknown";17;"jun";167;1;-1;0;"unknown";"0"
24;"management";"single";"tertiary";"no";1;"no";"no";"cellular";14;"may";396;5;-1;0;"unknown";"1"
34;"services";"married";"secondary";"no";142;"yes";"no";"unknown";8;"may";159;4;-1;0;"unknown";"0"
50;"blue-collar";"married";"primary";"no";506;"yes";"no";"telephone";7;"aug";430;4;-1;0;"unknown";"0"
44;"blue-collar";"married";"secondary";"no";129;"yes";"yes";"unknown";5;"may";189;2;-1;0;"unknown";"0"
57;"blue-collar";"divorced";"primary";"no";1299;"no";"no";"cellular";27;"nov";142;2;-1;0;"unknown";"0"
26;"student";"single";"unknown";"no";19;"no";"no";"telephone";30;"apr";268;1;-1;0;"unknown";"0"
29;"blue-collar";"married";"primary";"no";163;"yes";"yes";"cellular";29;"jan";80;2;-1;0;"unknown";"0"
50;"blue-collar";"married";"primary";"no";0;"no";"no";"unknown";5;"may";233;3;-1;0;"unknown";"0"
52;"management";"married";"secondary";"no";4096;"yes";"no";"unknown";4;"jun";208;4;-1;0;"unknown";"0"
31;"admin.";"married";"secondary";"no";0;"yes";"yes";"cellular";18;"nov";79;3;-1;0;"unknown";"0"
32;"blue-collar";"single";"primary";"no";33;"no";"no";"cellular";23;"jul";118;1;-1;0;"unknown";"0"
33;"technician";"single";"secondary";"no";0;"no";"no";"cellular";26;"aug";73;4;-1;0;"unknown";"0"
33;"admin.";"single";"secondary";"no";1779;"yes";"no";"unknown";21;"may";175;2;-1;0;"unknown";"0"
41;"unemployed";"divorced";"tertiary";"no";-198;"yes";"no";"cellular";17;"nov";165;1;-1;0;"unknown";"0"
28;"technician";"married";"tertiary";"no";107;"yes";"no";"cellular";29;"jul";122;13;-1;0;"unknown";"0"
41;"entrepreneur";"single";"primary";"no";7264;"no";"yes";"unknown";1;"jul";125;3;-1;0;"unknown";"0"
32;"blue-collar";"married";"primary";"no";289;"yes";"no";"unknown";8;"may";23;4;-1;0;"unknown";"0"
48;"services";"married";"unknown";"no";1155;"yes";"no";"unknown";16;"may";557;4;-1;0;"unknown";"0"
45;"self-employed";"divorced";"tertiary";"no";963;"yes";"no";"cellular";12;"may";528;5;-1;0;"unknown";"1"
39;"blue-collar";"married";"secondary";"no";0;"yes";"no";"cellular";18;"nov";420;2;-1;0;"unknown";"0"
36;"admin.";"divorced";"secondary";"no";-37;"yes";"no";"unknown";27;"may";151;1;-1;0;"unknown";"0"
60;"retired";"married";"secondary";"no";3932;"yes";"no";"unknown";14;"may";407;2;-1;0;"unknown";"0"
42;"admin.";"single";"secondary";"no";-247;"yes";"yes";"cellular";18;"nov";104;2;28;2;"success";"0"
34;"blue-collar";"single";"primary";"no";505;"yes";"no";"unknown";13;"may";351;1;-1;0;"unknown";"0"
